"longitude","latitude","value","G1","G2"
113.56837097,22.1253250745,0.0304626555060988,"B","pre"
113.538074738,22.2109934195,0.0548537164439717,"B","pre"
113.54696689,22.2042783657,0.07474342278816,"B","pre"
113.550766928,22.2122490802,0.227266065648593,"B","pre"
113.55713729,22.2091558083,0.163619005347191,"B","pre"
113.534278505,22.1901884542,0.0385855634870325,"B","acu"
113.550757676,22.1984201204,0.0165366700658711,"B","acu"
113.542937815,22.1934018209,0.0578783452305487,"B","acu"
113.576503746,22.1568624735,0.00275611167764518,"B","acu"
113.534544405,22.186351058,0.00964639087175812,"B","acu"
113.545636215,22.2136637768,0.0964639087175812,"B","acu"
113.544272025,22.185627593,0.0248050050988066,"B","acu"
113.555948034,22.1641111651,0.00137805583882259,"B","acu"
113.55299726,22.1939751494,0.0206708375823388,"B","acu"
113.543371517,22.2013154515,0.220488934211614,"B","acu"
113.554821351,22.2037267343,0.0895736295234683,"B","acu"
113.541624919,22.205058097,0.115756690461097,"B","acu"
113.555223272,22.1590835562,0.0399636193258551,"B","acu"
113.552589795,22.1531777983,0.00826833503293553,"B","acu"
113.53932912,22.1989776959,0.152964198109307,"B","acu"
113.54467931,22.1612185484,0.00413416751646777,"B","acu"
113.542621517,22.208120055,0.124025025494033,"B","acu"
113.547468416,22.1996124479,0.0881955736846457,"B","acu"
113.566198222,22.1430025502,0.00413416751646777,"B","acu"
113.56837097,22.1253250745,0.0261830609376292,"B","acu"
113.538074738,22.2109934195,0.0840614061681779,"B","acu"
113.54696689,22.2042783657,0.0716589036187746,"B","acu"
113.550766928,22.2122490802,0.198440040790453,"B","acu"
113.55713729,22.2091558083,0.166744756497533,"B","acu"
113.534278505,22.1901884542,0.0289707179549268,"B","tra"
113.550757676,22.1984201204,0.0129719632634,"B","tra"
113.542937815,22.1934018209,0.0540498469308335,"B","tra"
113.576503746,22.1568624735,0.00778317795804002,"B","tra"
113.534544405,22.186351058,0.0112423681616134,"B","tra"
113.545636215,22.2136637768,0.0951277305982669,"B","tra"
113.544272025,22.185627593,0.0259439265268001,"B","tra"
113.555948034,22.1641111651,0.00432398775446668,"B","tra"
113.55299726,22.1939751494,0.0246467302004601,"B","tra"
113.543371517,22.2013154515,0.186363872217514,"B","tra"
113.554821351,22.2037267343,0.0786965771312936,"B","tra"
113.541624919,22.205058097,0.0890741477420136,"B","tra"
113.555223272,22.1590835562,0.0445370738710068,"B","tra"
113.552589795,22.1531777983,0.00691838040714669,"B","tra"
113.53932912,22.1989776959,0.104640503658094,"B","tra"
113.54467931,22.1612185484,0.00562118408080668,"B","tra"
113.542621517,22.208120055,0.108099693861667,"B","tra"
113.547468416,22.1996124479,0.0864797550893336,"B","tra"
113.566198222,22.1430025502,0.00864797550893336,"B","tra"
113.56837097,22.1253250745,0.0220523375477801,"B","tra"
113.538074738,22.2109934195,0.0670218101942335,"B","tra"
113.54696689,22.2042783657,0.0657246138678935,"B","tra"
113.550766928,22.2122490802,0.188525866094747,"B","tra"
113.55713729,22.2091558083,0.121504055900514,"B","tra"
113.534278505,22.1901884542,0.0256961315641936,"B","pos"
113.550757676,22.1984201204,0.014535185531261,"B","pos"
113.542937815,22.1934018209,0.0485371373990324,"B","pos"
113.576503746,22.1568624735,0.0243983471417596,"B","pos"
113.534544405,22.186351058,0.0150542993002346,"B","pos"
113.545636215,22.2136637768,0.0908449095703814,"B","pos"
113.544272025,22.185627593,0.0233601196038124,"B","pos"
113.555948034,22.1641111651,0.00986316161049856,"B","pos"
113.55299726,22.1939751494,0.0311468261384165,"B","pos"
113.543371517,22.2013154515,0.161184825266305,"B","pos"
113.554821351,22.2037267343,0.0651487780061878,"B","pos"
113.541624919,22.205058097,0.0830582030357773,"B","pos"
113.555223272,22.1590835562,0.101227184949854,"B","pos"
113.552589795,22.1531777983,0.0116800598019062,"B","pos"
113.53932912,22.1989776959,0.110052119022405,"B","pos"
113.54467931,22.1612185484,0.0166116406071555,"B","pos"
113.542621517,22.208120055,0.0786457359995017,"B","pos"
113.547468416,22.1996124479,0.0731950414252788,"B","pos"
113.566198222,22.1430025502,0.0101227184949854,"B","pos"
113.56837097,22.1253250745,0.0324446105608505,"B","pos"
113.538074738,22.2109934195,0.0389335326730206,"B","pos"
113.54696689,22.2042783657,0.0578811852405573,"B","pos"
113.550766928,22.2122490802,0.1632612803422,"B","pos"
113.55713729,22.2091558083,0.153138561847214,"B","pos"
