#node	date	numeric date
EPI539578|A/Hong_Kong/5320/2014|2014	2014-03-20	2014.215068
NODE_0000081	2013-03-17	2013.208173
EPI500286|A/Hong_Kong/23/2014|2014	2013-12-26	2013.984932
NODE_0001200	2013-08-15	2013.620411
NODE_0001201	2014-03-21	2014.217808
EPI537096|A/Hong_Kong/5434/2014|2014	2014-03-21	2014.217808
EPI537710|A/Hong_Kong/5434/2014|2014	2014-03-21	2014.217808
NODE_0001202	2013-10-08	2013.768412
EPI557294|A/Hong_Kong/7622/2014|2014	2014-11-30	2014.913699
NODE_0001203	2014-03-19	2014.212329
EPI537094|A/Hong_Kong/5383/2014|2014	2014-03-19	2014.212329
EPI540516|A/Hong_Kong/5383/2014|2014	2014-03-19	2014.212329
NODE_0000086	2012-06-26	2012.484973
EPI391234|A/Hong_Kong/8118/2012|2012	2012-06-26	2012.484973
NODE_0000087	2012-11-09	2012.855334
NODE_0000088	2012-11-09	2012.855334
NODE_0001183	2013-01-29	2013.078082
EPI463662|A/Hong_Kong/419/2013|2013	2013-01-29	2013.078082
EPI464687|A/Hong_Kong/419/2013|2013	2013-01-29	2013.078082
NODE_0000090	2012-11-09	2012.855334
EPI486579|A/Hong_Kong/5641/2013|2013	2013-10-13	2013.782192
NODE_0001186	2013-01-19	2013.049705
NODE_0000092	2013-05-04	2013.338465
EPI500288|A/Hong_Kong/32/2014|2014	2013-12-29	2013.993151
EPI500290|A/Hong_Kong/33/2014|2014	2013-12-30	2013.995890
NODE_0001188	2013-01-19	2013.049705
EPI463663|A/Hong_Kong/714/2013|2013	2013-02-08	2013.105479
NODE_0000094	2013-08-08	2013.602265
EPI503921|A/Hong_Kong/101/2014|2014	2013-12-28	2013.990411
NODE_0000097	2013-08-08	2013.602265
EPI486414|A/Hong_Kong/4928/2013|2013	2013-09-17	2013.710959
NODE_0000099	2013-09-03	2013.672674
EPI500284|A/Hong_Kong/19/2014|2014	2013-12-29	2013.993151
NODE_0001192	2014-03-13	2014.196225
EPI539802|A/Hong_Kong/5578/2014|2014	2014-04-04	2014.256164
EPI539804|A/Hong_Kong/5695/2014|2014	2014-04-21	2014.302740
NODE_0001169	2014-02-02	2014.088704
EPI551878|A/Hong_Kong/7276/2014|2014	2014-08-02	2014.584932
NODE_0001172	2014-03-06	2014.175649
EPI551153|A/Hong_Kong/7563/2014|2014	2014-10-08	2014.768493
EPI551876|A/Hong_Kong/7272/2014|2014	2014-08-04	2014.590411
NODE_0001177	2014-03-28	2014.237080
EPI551864|A/Hong_Kong/6033/2014|2014	2014-06-05	2014.426027
EPI551866|A/Hong_Kong/6315/2014|2014	2014-06-14	2014.450685
EPI551874|A/Hong_Kong/7243/2014|2014	2014-08-02	2014.584932
NODE_0001178	2014-05-22	2014.387277
EPI551872|A/Hong_Kong/7229/2014|2014	2014-07-31	2014.579452
EPI551886|A/Hong_Kong/7329/2014|2014	2014-08-11	2014.609589
NODE_0000106	2014-04-21	2014.301835
NODE_0001171	2019-06-07	2019.430712
EPI1838935|A/Hong_Kong/709/2020|2020	2020-03-15	2020.203552
EPI1838925|A/Hong_Kong/703/2020|2020	2020-03-07	2020.181694
NODE_0000108	2014-04-21	2014.301835
EPI551868|A/Hong_Kong/6421/2014|2014	2014-06-19	2014.464384
NODE_0001175	2014-08-07	2014.598630
EPI551884|A/Hong_Kong/7313/2014|2014	2014-08-07	2014.598630
EPI557298|A/Hong_Kong/7624/2014|2014	2014-12-01	2014.916438
NODE_0001150	2012-03-18	2012.212964
EPI382681|A/Hong_Kong/8115/2012|2012	2012-06-26	2012.484973
NODE_0001152	2012-06-26	2012.484973
EPI382794|A/Hong_Kong/8147/2012|2012	2012-06-26	2012.484973
EPI392268|A/Hong_Kong/8147/2012|2012	2012-06-26	2012.484973
NODE_0001153	2012-12-03	2012.923180
EPI454463|A/Hong_Kong/32/2013|2013	2013-01-03	2013.006849
EPI432644|A/Hong_Kong/32/2013|2013	2013-01-03	2013.006849
NODE_0001138	2012-07-24	2012.561979
EPI426061|A/Hong_Kong/146/2013|2013	2013-01-11	2013.028767
NODE_0001149	2013-01-28	2013.075342
EPI463661|A/Hong_Kong/392/2013|2013	2013-01-28	2013.075342
EPI464685|A/Hong_Kong/392/2013|2013	2013-01-28	2013.075342
NODE_0000118	2012-11-04	2012.842578
NODE_0001146	2013-02-06	2013.100552
EPI463665|A/Hong_Kong/1144/2013|2013	2013-03-04	2013.171233
NODE_0000123	2013-03-29	2013.239726
EPI465298|A/Hong_Kong/1864/2013|2013	2013-03-29	2013.239726
EPI463667|A/Hong_Kong/1864/2013|2013	2013-03-29	2013.239726
NODE_0000124	2013-01-01	2013.002247
NODE_0000129	2013-01-01	2013.002247
NODE_0000136	2013-01-01	2013.002247
EPI463666|A/Hong_Kong/1597/2013|2013	2013-03-09	2013.184932
EPI486443|A/Hong_Kong/5648/2013|2013	2013-10-14	2013.784932
NODE_0001139	2013-07-19	2013.545402
NODE_0001140	2013-10-12	2013.779452
EPI486576|A/Hong_Kong/5643/2013|2013	2013-10-12	2013.779452
EPI499308|A/Hong_Kong/5643/2013|2013	2013-10-12	2013.779452
NODE_0001141	2013-09-13	2013.700736
EPI500282|A/Hong_Kong/12/2014|2014	2013-12-28	2013.990411
EPI500293|A/Hong_Kong/4/2014|2014	2013-12-26	2013.984932
NODE_0001137	2013-08-25	2013.648264
EPI551856|A/Hong_Kong/1194/2014|2014	2014-01-12	2014.031507
NODE_0001135	2013-10-11	2013.777123
NODE_0001136	2013-12-04	2013.925747
EPI551858|A/Hong_Kong/4244/2014|2014	2014-02-16	2014.127397
EPI551888|A/Hong_Kong/7347/2014|2014	2014-08-14	2014.617808
NODE_0001110	2013-11-22	2013.892465
NODE_0001124	2014-01-26	2014.070977
EPI1026711|A/Hong_Kong/4801/2014|2014	2014-02-26	2014.154795
EPI550842|A/Hong_Kong/5738/2014|2014	2014-04-30	2014.327397
EPI643118|A/Hong_Kong/4801/2014|2014	2014-02-26	2014.154795
NODE_0000139	2014-01-28	2014.076080
NODE_0000146	2014-02-16	2014.128063
EPI551860|A/Hong_Kong/5576/2014|2014	2014-04-05	2014.258904
NODE_0000148	2014-02-18	2014.132864
NODE_0001132	2014-04-06	2014.260898
EPI543726|A/Hong_Kong/5738/2014|2014	2014-04-30	2014.327397
NODE_0000151	2014-04-29	2014.324658
EPI539580|A/Hong_Kong/5739/2014|2014	2014-04-29	2014.324658
NODE_0000152	2014-04-30	2014.327397
EPI539806|A/Hong_Kong/5738/2014|2014	2014-04-30	2014.327397
EPI541442|A/Hong_Kong/5738/2014|2014	2014-04-30	2014.327397
NODE_0000159	2014-02-23	2014.147352
NODE_0000160	2014-02-24	2014.149212
EPI539576|A/Hong_Kong/4801/2014|2014	2014-02-26	2014.154795
NODE_0000162	2014-02-25	2014.151073
EPI675798|A/Hong_Kong/4801/2014|2014	2014-02-26	2014.154795
NODE_0000163	2014-02-25	2014.152934
EPI653201|A/Hong_Kong/4801/2014|2014	2014-02-26	2014.154795
NODE_0000164	2014-02-26	2014.154795
EPI539574|A/Hong_Kong/4800/2014|2014	2014-02-26	2014.154795
EPI834581|A/Hong_Kong/4801/2014|2014	2014-02-26	2014.154795
NODE_0001111	2014-08-01	2014.582655
EPI574615|A/Hong_Kong/8112865/2015|2015	2015-01-24	2015.064384
NODE_0001112	2016-11-04	2016.842235
EPI1655878|A/HongKong_Australia/09041192/2017|2017	2017-09-04	2017.675342
NODE_0001113	2017-02-06	2017.100050
NODE_0001115	2017-06-28	2017.489041
EPI1036345|A/Hong_Kong/3066/2017|2017	2017-06-29	2017.491781
EPI1043903|A/Hong_Kong/3101/2017|2017	2017-06-28	2017.489041
NODE_0001116	2017-04-21	2017.303224
EPI1021154|A/Hong_Kong/2229/2017|2017	2017-05-19	2017.379452
EPI1021182|A/Hong_Kong/2270/2017|2017	2017-05-20	2017.382192
NODE_0001117	2017-05-03	2017.335541
EPI1073824|A/Hong_Kong/2291/2017|2017	2017-05-23	2017.390411
NODE_0001119	2017-06-06	2017.429193
EPI1036313|A/Hong_Kong/3042/2017|2017	2017-06-27	2017.486301
EPI1060836|A/Hong_Kong/3042/2017|2017	2017-06-27	2017.486301
NODE_0000173	2017-05-22	2017.387671
EPI1021222|A/Hong_Kong/2292/2017|2017	2017-05-22	2017.387671
NODE_0000176	2017-05-23	2017.390411
EPI1044143|A/Hong_Kong/2291/2017|2017	2017-05-23	2017.390411
EPI1021220|A/Hong_Kong/2291/2017|2017	2017-05-23	2017.390411
NODE_0001034	2014-05-02	2014.334030
EPI551862|A/Hong_Kong/6013/2014|2014	2014-06-05	2014.426027
NODE_0000178	2014-06-14	2014.451537
EPI551880|A/Hong_Kong/7278/2014|2014	2014-08-01	2014.582192
NODE_0000179	2014-07-01	2014.497829
EPI551890|A/Hong_Kong/7364/2014|2014	2014-08-18	2014.628767
NODE_0000180	2014-11-23	2014.895232
EPI679463|A/Hong_Kong/15607/2015|2015	2015-10-14	2015.784932
NODE_0001035	2016-07-28	2016.572870
EPI1655743|A/HongKong/10251519/2016|2016	2016-10-25	2016.815574
EPI918292|A/Hong_Kong/237/2017|2017	2017-01-08	2017.020548
EPI918276|A/Hong_Kong/123/2017|2017	2017-01-04	2017.009589
EPI1043957|A/Hong_Kong/3131/2017|2017	2017-07-02	2017.500000
NODE_0001039	2016-09-02	2016.669658
NODE_0001040	2016-10-15	2016.789230
NODE_0001041	2018-03-23	2018.223229
EPI1278489|A/HK/1247/2018|2018	2018-07-11	2018.524658
EPI1415365|A/HK/251/2019|2019	2019-01-06	2019.015068
NODE_0001042	2018-06-30	2018.494521
EPI1278483|A/HK/1183/2018|2018	2018-06-30	2018.494521
EPI1278484|A/HK/1201/2018|2018	2018-07-02	2018.500000
NODE_0001044	2017-02-21	2017.139869
NODE_0001045	2017-07-14	2017.532877
EPI1048584|A/Hong_Kong/3565/2017|2017	2017-07-14	2017.532877
EPI1058381|A/Hong_Kong/3565/2017|2017	2017-07-14	2017.532877
NODE_0001047	2017-05-01	2017.330434
EPI1655781|A/HongKong_Thailand/08071293/2017|2017	2017-08-07	2017.598630
EPI1148807|A/Hong_Kong/4082/2017|2017	2017-07-22	2017.554795
NODE_0001049	2017-05-21	2017.384932
EPI1073800|A/Hong_Kong/2271/2017|2017	2017-05-21	2017.384932
EPI1021184|A/Hong_Kong/2271/2017|2017	2017-05-21	2017.384932
NODE_0001050	2017-03-25	2017.229934
EPI1655771|A/HongKong/07231849/2017|2017	2017-07-23	2017.557534
EPI1655793|A/Hong_Kong_Thailand/08261954/2017|2017	2017-08-26	2017.650685
NODE_0000177	2017-06-09	2017.436687
EPI1655774|A/HongKong/07261936/2017|2017	2017-07-26	2017.565753
NODE_0000193	2017-07-17	2017.540993
NODE_0001057	2017-10-20	2017.801370
EPI1161854|A/Hong_Kong/4822/2017|2017	2017-10-20	2017.801370
EPI1125044|A/Hong_Kong/4822/2017|2017	2017-10-20	2017.801370
NODE_0000196	2017-07-18	2017.542854
EPI1107060|A/Hong_Kong/4818/2017|2017	2017-10-22	2017.806849
NODE_0000197	2017-07-18	2017.544715
EPI1154832|A/Hong_Kong/4986/2017|2017	2017-12-13	2017.949315
NODE_0000199	2017-07-19	2017.546575
EPI1048642|A/Hong_Kong/3570/2017|2017	2017-07-19	2017.546575
NODE_0000202	2017-07-20	2017.550194
EPI1148825|A/Hong_Kong/4112/2017|2017	2017-07-28	2017.571233
NODE_0000203	2017-07-21	2017.552055
EPI1060878|A/Hong_Kong/3824/2017|2017	2017-07-21	2017.552055
EPI1073852|A/Hong_Kong/3824/2017|2017	2017-07-21	2017.552055
NODE_0001061	2017-05-27	2017.401554
EPI1043945|A/Hong_Kong/3125/2017|2017	2017-07-02	2017.500000
NODE_0001066	2017-12-11	2017.943836
EPI1239834|A/Hong_Kong/4983/2017|2017	2017-12-11	2017.943836
EPI1180997|A/Hong_Kong/4983/2017|2017	2017-12-11	2017.943836
NODE_0000187	2017-06-29	2017.492660
NODE_0001062	2017-12-18	2017.963014
EPI1154834|A/Hong_Kong/4995/2017|2017	2017-12-18	2017.963014
EPI1239818|A/Hong_Kong/4994/2017|2017	2017-12-18	2017.963014
